"2,4-Dichlorophenyl 3-methoxy-4-nitrophenyl ether",C13H9Cl2NO4,9.55E-07,314.13
Niflumic acid,C13H9F3N2O2,3.03E-04,282.22
Phenanthridine,C13H9N,1.67E-03,179.22
Acridine,C13H9N,3.20E-04,179.22
2-Hydroxyacridine,C13H9NO,2.00E-05,195.22
p-Biphenyl isothiocyanate,C13H9NS,1.40E-05,211.29
m-Biphenyl isothiocyanate,C13H9NS,3.00E-05,211.29
Fluorene,C13H10,1.01E-05,166.22
Leptophos,C13H10BrCl2O2PS,5.82E-06,412.08
Leptophos oxon,C13H10BrCl2O3P,8.59E-06,396.01
N-( p-Chlorophenyl)-o-hydroxybenzamide,C13H10ClNO2,4.89E-08,247.68
"2,4,-Dichloro-6-benzyl-phenol",C13H10Cl2O,2.30E-05,253.13
Dichlorophen,C13H10Cl2O2,1.12E-04,269.13
Benodanil,C13H10INO,6.19E-05,323.14
9-Aminoacridine,C13H10N2,6.00E-05,194.24
4-Aminoacridine,C13H10N2,7.00E-05,194.24
2-Aminoacridine,C13H10N2,5.00E-05,194.24
3-Aminoacridine,C13H10N2,1.50E-04,194.24
1-Aminoacridine,C13H10N2,6.00E-05,194.24
1-Benzoyloxymethyl allopurinol,C13H10N4O3,8.88E-05,270.25
Benzophenone,C13H10O,7.50E-04,182.22
"2,4-Dihydroxybenzophenone",C13H10O3,4.26E-02,214.22
Phenyl salicylate,C13H10O3,7.00E-04,214.22
"2,3,4-Trihydroxybenzophenone",C13H10O4,5.74E-02,230.22
"2,4,6-Trihydroxybenzophenone",C13H10O4,1.35E-02,230.22
"2,2',4,4'-Tetrahydroxybenzophenone",C13H10O5,3.58E-02,246.22
"2,3,4,4'-Tetrahydroxybenzophenone",C13H10O5,6.12E-02,246.22
Maclurin,C13H10O6,1.91E-02,262.22
San 6706,C13H11ClF3N3O,3.31E-05,317.7
Chlorophene,C13H11ClO,1.90E-02,218.69
2-Aminofluorene,C13H11N,1.71E-04,181.24
Salicylanilide,C13H11NO2,2.58E-04,213.24
"6H-Dipyrido[3,2-b:2',3'-e][1,4]diazepin-6-one, 2-chloro-11-ethyl-5,11-dihydro",C13H11ClN4O,4.37E-06,274.71
"Furo[3,4-b]quinolin-3(1H)-one, 9-hydroxy-1,7-dimethyl",C13H11NO3,9.60E-08,229.24
"Furo[3,4-b]quinolin-3(1H)-one, 9-hydroxy-1,6-dimethyl",C13H11NO,2.53E-07,229.24
Oxolinic acid,C13H11NO5,1.23E-05,261.24
Benquinox,C13H11N3O2,2.07E-05,241.25
2-Sulfanilamidobenzothiazole,C13H11N3O2S2,3.28E-06,305.38
Tenoxicam,C13H11N3O4S,1.84E-04,337.38
5-p-Nitrobenzenesulfonamidotetrazole,C13H11N7O4S,2.21E-05,361.34
4-Carboxyethylphenylphenylphosphinic acid,C13H11O3P,1.24E-02,246.2
Diphenylmethane,C13H12,8.38E-05,168.24
4-Methylbiphenyl,C13H12,2.41E-05,168.24
Fluconazole,C13H12F2N6O,3.27E-03,306.28
Carbanilide,C13H12N2O,7.07E-04,212.25
Phenallymal,C13H12N2O3,4.27E-03,244.25
Nimesulide,C13H12N2O5S,4.54E-05,308.31
p-Benzylphenol,C13H12O,5.43E-04,184.24
o-Benzylphenol,C13H12O,1.09E-03,184.24
Benzhydrol,C13H12O,2.80E-03,184.24
bis(4-Hydroxy-3-coumarin) acetic acid ethyl ester,C13H12O5,2.19E-04,248.24
Glycophen,C13H13Cl2N3O3,3.94E-05,330.17
a-(ß-Naphthyl)-a-alanine,C13H13NO2,2.26E-03,215.25
"2-Azetidinecarboxylic acid, 1-[(benzoyloxy)acetyl]-",C13H13NO5,7.22E-03,263.25
N4-Acetyl sulfapyridine,C13H13N3O3S,7.21E-04,291.33
Succinylsulfathiazole,C13H13N3O5S2,1.38E-03,355.39
Diphenyl methyl phosphate,C13H13O4P,7.57E-03,264.22
"1,4,5-Trimethylnaphthalene",C13H14,1.23E-05,170.26
Ethalfluralin,C13H14F3N3O4,6.00E-07,333.27
"4,4'-Methylenedianiline",C13H14N2,5.04E-03,198.27
Mephobarbital,C13H14N2O3,6.09E-04,246.27
"Benzoic acid, 2-(acetyloxy)-, 2-[(2-amino-2-oxoethyl)amino]-2-oxoethyl ester",C13H14N2O6,2.99E-03,294.27
Pyridine-2-azo-p-dimethylaniline,C13H14N4,9.40E-05,226.28
N4-Acetylsulfamerazine,C13H14N4O3S,9.14E-04,306.35
Acetyl sulfamethoxypyridazine,C13H14N4O4S,6.83E-04,322.34
"Salicylic acid acetate, hydroxymethyl ester propionate",C13H14O6,2.63E-03,266.25
Methylphthalyl ethyl glycolate,C13H14O6,1.99E-03,266.25
Glutethimide,C13H15NO2,4.37E-03,217.27
Pyracarbolid,C13H15NO2,2.76E-03,217.27
m-Carboxylpentylphenylisothiocyanate,C13H15NO2S,7.30E-05,249.33
"Pyrolan
1-Phenyl-3-met",C13H15N3O2,8.14E-03,245.28
