Name,Formula,Solubility,Molecular Weight
Bromodichloromethane,CHBrCl2,1.85E-02,163.83
Chlorodibromomethane,CHBr2Cl,5.04E-03,208.29
Bromoform,CHBr3,7.91E-04,252.75
Chlorodifluoromethane,CHClF2,3.02E-01,86.47
Chloroform,CHCl3,7.47E-02,119.38
Iodoform,CHI3,3.00E-04,393.73
Bromochloromethane,CH2BrCl,1.29E-01,129.39
Methylene bromide,CH2Br2,6.26E-02,173.85
Methylene chloride,CH2Cl2,2.31E-01,84.93
Methylene iodide,CH2I2,3.11E-03,267.84
Cyanamide,CH2N2,1.06E+01,42.04
Methyl bromide,CH3Br,1.39E-01,94.94
Bromomethionic acid,CH3BrO6S2,3.04E+00,255.07
Methyl chloride,CH3Cl,1.06E-01,50.49
Chloromethionic acid,CH3ClO6S2,1.54E+01,210.61
Fluoromethane,CH3F,5.85E-02,34.03
Iodomethane,CH3I,9.77E-02,141.94
Formaldehyde oxime,CH3NO,3.77E+00,45.04
Nitromethane,CH3NO2,1.63E+00,61.04
5-Aminotetrazole,CH3N5,1.41E-01,85.07
Methane,CH4,1.52E-03,16.04
Urea,CH4N2O,5.87E+00,60.06
Thiourea,CH4N2S,1.09E+00,76.12
Nitroguanidine,CH4N4O2,1.17E-01,104.07
Methanol,CH4O,1.69E+01,32.04
Methionic acid,CH4O6S2,1.40E+01,176.17
Methionic acid (monohydrate),CH4O6S2.H2O,4.41E+00,194.18
Methylamine,CH5N,1.79E+01,31.06
Nitroaminoguanidine,CH5N5O2,2.85E-02,119.08
Methanearsonic acid,CH5O3As,1.56E+00,139.97
Methylarsine,CH5As,9.24E-04,91.97
Bromochlorodifluoromethane,CBrClF2,9.56E-05,165.37
Tribromo-fluoro-methane,CBr3F,1.48E-03,270.74
Carbon tetrabromide,CBr4,7.24E-04,331.65
Cyanogen chloride,CClN,9.76E-01,61.47
Chlorotrinitromethane,CClN3O6,1.19E-02,185.48
Dichlorodifluoromethane,CCl2F2,2.32E-03,120.91
Trichlorofluoromethane,CCl3F,8.01E-03,137.37
Chloropicrin,CCl3NO2,9.87E-03,164.38
Carbon tetrachloride,CCl4,6.49E-03,153.82
Carbon tetrafluoride,CF4,2.11E-04,88
Carbonyl sulfide,COS,2.08E-02,60.07
Carbon dioxide,CO2,6.58E-02,44.01
Carbon disulfide,CS2,3.75E-02,76.14
Halothane,C2HBrClF3,1.74E-02,197.39
Trichloroethylene,C2HCl3,7.60E-03,131.39
Chloral (monhydrate),C2HCl3O.H2O,5.24E+00,165.4
Trichloroacetic acid,C2HCl3O2,3.34E+00,163.39
Pentachloroethane,C2HCl5,2.47E-03,202.3
Acetylene,C2H2,1.86E+01,26.04
sym-Tetrabromoethane,C2H2Br4,1.88E-03,345.67
Vinylidene chloride,C2H2Cl2,2.32E-02,96.94
cis-Acetylene dichloride,C2H2Cl2,3.61E-02,96.94
trans-Acetylene dichloride,C2H2Cl2,6.50E-02,96.94
Chlorovinyldichloroarsine,C2H2Cl3As,2.41E-03,207.32
"1,1,1,2-Tetrachloroethane",C2H2Cl4,1.72E-02,167.85
"1,1,2,2-Tetrachloroethane",C2H2Cl4,1.77E-02,167.85
Oxalic acid,C2H2O4,1.09E+00,90.04
Oxalic acid dihydrate,C2H2O4.2H2O,1.34E-02,126.07
"2,2,2-Tribromoethanol",C2H3Br3O,1.21E-01,282.77
Vinyl chloride,C2H3Cl,1.76E-02,62.5
"1,1-Dichloro-1-nitroethane",C2H3Cl2NO2,3.46E-02,143.96
"1,1,1-Trichloroethane",C2H3Cl3,5.24E-03,133.41
"1,1,2-Trichloroethane",C2H3Cl3,3.80E-02,133.41
Fluoroacetic acid,C2H3FO2,6.41E-04,78.04
Acetonitrile,C2H3N,1.95E+01,41.05
Methylisocyanide,C2H3N,2.22E+00,41.05
Methyl isothiocyanate,C2H3NS,1.04E-01,73.12
Ethylene,C2H4,3.24E+00,28.05
Ethylene chlorobromide,C2H4BrCl,4.78E-02,143.42
"1,2-Dibromoethane",C2H4Br2,2.21E-02,187.87
Acetohydroxamic acid chloride,C2H4ClNO,9.62E-01,93.51
1-Chloro-1-nitroethane,C2H4ClNO2,3.64E-02,109.51
Ethylidene chloride,C2H4Cl2,5.11E-02,98.96
Ethylene dichloride,C2H4Cl2,8.07E-02,98.96
"1,1-Difluoroethane",C2H4F2,8.13E-02,66.05
Oxamide,C2H4N2O2,1.68E-02,88.07
Amitrole,C2H4N4,2.60E+00,84.08
Dicyanodiamide,C2H4N4,4.88E-01,84.08
"2-Amino-1,3,4-thiadiazole-5-sulfonamide",C2H4N4O2S2,2.63E-02,180.21
Acetic acid glacial,C2H4O2,1.00E+01,60.05
Methyl formate,C2H4O2,3.80E+00,60.05
Glycolic acid,C2H4O3,8.02E+00,76.05
Bromoethane,C2H5Br,8.19E-02,108.97
Ethyl chloride,C2H5Cl,7.87E-02,64.52
Iodoethane,C2H5I,2.53E-02,155.97
Ethylenimine,C2H5N,2.12E-01,43.07
Acetamide,C2H5NO,3.39E+01,59.07
Glycine,C2H5NO2,3.32E+00,75.07
Nitroethane,C2H5NO2,6.40E-01,75.07
Methyl carbamate,C2H5NO2,9.36E+00,75.07
Glycolamide,C2H5NO2,5.51E+00,75.07
Thiacetamide,C2H5NS,1.87E+00,75.13
Ethyleneimine (dihydrate),C2H5N.2H2O,6.84E-02,79.1
Methylnitrosourea,C2H5N3O2,1.40E-01,103.08
Biuret,C2H5N3O2,4.72E-01,103.08
1-Methyl-3-nitro-1-nitrosoguanidine,C2H5N5O3,3.38E-02,147.09
Phosphoacetic acid,C2H5O5P,2.80E+00,140.03
Arsonoacetic acid,C2H5O5As,2.17E+00,183.98
Ethane,C2H6,2.01E-03,30.07
Methyl ether,C2H6O,5.67E+00,46.07
Ethylene glycol,C2H6O2,5.56E-01,62.07
Methyl methanesulphonate,C2H6O3S,1.51E+00,110.13
Dimethyl sulfate,C2H6O4S,2.16E-01,126.13
