dl-Alanine,C3H7NO2,1.660E+00,89.09
Lactamide,C3H7NO2,8.780E+00,89.09
Sarcosine,C3H7NO2,3.370E+00,89.09
Urethan,C3H7NO2,2.250E+01,89.09
Cysteine,C3H7NO2S,2.770E-02,121.16
Serine,C3H7NO3,2.810E+00,105.09
d-Serine,C3H7NO3,4.010E+00,105.09
dl-Serine,C3H7NO3,4.550E-01,105.09
dl-Isoserine,C3H7NO3,1.460E-01,105.09
Glycerol-?-nitrate,C3H7NO5,3.000E+00,137.09
Glycocyamine,C3H7N3O2,3.830E-02,117.11
Nitrosoethylurea,C3H7N3O2,1.100E-01,117.11
2-Carboxyethylphosphonic acid,C3H7O5P,2.130E+00,154.06
Propane,C3H8,1.420E-03,44.1
Glyphosate,C3H8NO5P,7.100E-02,169.07
n-Propyl alcohol,C3H8O,3.130E+00,60.1
Isopropyl alcohol,C3H8O,5.030E+00,60.1
"2,3-Dimercapto-1-propanol",C3H8OS2,5.960E-01,124.22
Methylal,C3H8O2,3.020E+00,76.1
Glycerol,C3H8O3,5.750E-01,92.1
Propylamine,C3H9N,2.470E-02,59.11
Trimethylamine,C3H9N,6.940E+00,59.11
Trimethyl phosphate,C3H9O4P,3.570E+00,140.08
Guanidine carbonate,C3H12N6O3,1.850E+00,180.17
Trichloroisocyanuric acid,C3Cl3N3O3,3.440E-03,232.41
Hexachloropropene,C3Cl6,6.030E-04,248.75
Iodol,C4HI4N,3.510E-04,570.68
Butadiyne,C4H2,2.000E-03,50.06
Alloxan,C4H2N2O4,5.630E-02,142.07
5-Bromouracil,C4H3BrN2O2,1.510E-02,190.99
6-Chlorouracil,C4H3ClN2O2,3.330E-02,146.53
5-Chlorouracil,C4H3ClN2O2,1.710E-02,146.53
5 Fluorouracil,C4H3FN2O2,9.380E-02,130.08
5-Iodouracil,C4H3IN2O2,2.060E-02,237.99
"2-Methyl-1,3,4-thiadiazole",C4H3N2S,7.920E-03,111.15
5-Nitrouracil,C4H3N3O4,2.300E-02,157.09
5-Nitrobarbituric acid,C4H3N3O5,5.200E-03,173.09
"meso-2,3-Dibromosuccinic acid",C4H4Br2O4,7.250E-02,275.89
"1,3-Dichloro-5-methylhydantoin",C4H4Cl2N2O2,1.630E-02,182.99
"l-2,3-Dichlorosuccinic acid",C4H4Cl2O4,2.670E+00,186.98
Succinonitrile,C4H4N2,1.580E+00,80.09
4-Hydroxypyrimidine,C4H4N2O,2.810E+00,96.09
2-Hydroxypyrimidine,C4H4N2O,3.250E+00,96.09
2-Thiouracil,C4H4N2OS,5.530E-03,128.15
Uracil,C4H4N2O2,3.200E-02,112.09
"4,6-Dihydroxypyrimidine",C4H4N2O2,2.230E-02,112.09
"2,4-Dihydroxypyrimidine",C4H4N2O2,2.960E-02,112.09
Maleic hydrazide,C4H4N2O2,5.320E-02,112.09
Barbituric acid,C4H4N2O3,5.130E-02,128.09
"2,4,6-Trihydroxypyrimidine",C4H4N2O3,5.170E-02,128.09
Fumaric acid,C4H4O4,5.990E-02,116.07
Maleic acid,C4H4O4,3.800E+00,116.07
Thiophene,C4H4S,3.580E-02,84.14
Bromosuccinic acid,C4H5BrO4,6.090E-01,196.99
2-Chloroisocrotonic acid,C4H5ClO2,5.100E-01,120.54
2-Chlorocrotonic acid,C4H5ClO2,1.740E-01,120.54
3-Chlorocrotonic acid,C4H5ClO2,2.480E-01,120.54
3-Chloroisocrotonic acid,C4H5ClO2,1.560E-01,120.54
l-Chlorosuccinic acid,C4H5ClO4,1.180E+00,152.54
Fluroxene,C4H5F3O,3.170E-05,126.08
Pyrrole,C4H5N,7.100E-01,67.09
Methacrylonitrile,C4H5N,3.690E-01,67.09
Hymexazol,C4H5NO2,8.580E-01,99.09
Succinimide,C4H5NO2,1.980E+00,99.09
Allyl isothiocyanate,C4H5NS,2.020E-02,99.16
Cytosine,C4H5N3O,6.880E-02,111.1
6-Amino-2-thiouracil,C4H5N3OS,1.790E-03,143.17
5-Aminouracil,C4H5N3O2,4.700E-03,127.1
6-Aminouracil,C4H5N3O2,4.700E-03,127.1
2-Methyl-4(5)-nitroimidazole,C4H5N3O2,2.370E-02,127.1
"1,3-Butadiene",C4H6,1.360E-02,54.09
1-Butyne,C4H6,5.310E-02,54.09
"5-Bromo-5-nitro-1,3-dioxane",C4H6BrNO4,2.710E-02,212.01
"3,4-Dichlorotetrahydrothiophene dioxide",C4H6Cl2O2S,1.160E-02,189.06
"2,5-Piperazinedione",C4H6N2O2,1.480E-01,114.1
