Name,SOL
"1,3-Cyclopentadiene",0.0103
Cyclopentene,0.0535
"2-Methyl-1,3-butadiene",0.0642
"1,4-Pentadiene",0.0558
1-Pentyne,0.157
Cyclopentane,0.0156
2-Methyl-2-butene,0.0435
3-Methyl-1-butene,0.013
1-Pentene,0.0148
2-Pentene,0.0203
"2,2-Dimethylpropane",0.00332
2-Methylbutane,0.00478
Pentane,0.00497
Benzene,0.0039
"1,4-Cyclohexadiene",0.07
Cyclohexene,0.0213
"1,5-Hexadiene",0.0169
1-Hexyne,0.036
Methylcyclopentane,0.0042
Cyclohexane,0.00819
"2,3-Dimethyl-1-butene",0.0459
2-Methyl-1-pentene,0.0078
4-Methyl-1-pentene,0.0048
1-Hexene,0.005
2-Hexene,0.00799
"2,2-Dimethylbutane",0.00184
"2,3-Dimethylbutane",0.00225
2-Methylpentane,0.00138
3-Methylpentane,0.00128
Hexane,0.00101
Toluene,0.053
"2,5-Norbornadiene",0.0383
"1,6-Heptadiyne",0.165
1-Methylcyclohexene,0.0052
Cycloheptene,0.0066
"1,6-Heptadiene",0.0044
1-Heptyne,0.0094
Ethylcyclopentane,0.01525
Methylcyclohexane,0.0014
Cycloheptane,0.003
1-Heptene,0.032
"2,2,3-Trimethylbutane",0.0145
"2,2-Dimethylpentane",0.00044
"2,3-Dimethylpentane",0.000525
"2,4-Dimethylpentane",0.000406
"3,3-Dimethylpentane",0.000592
2-Methylhexane,0.01425
3-Methylhexane,0.000495
Heptane,0.000293
Styrene,0.022
o-Xylene,0.0175
m-Xylene,0.0162
p-Xylene,0.0185
Ethylbenzene,0.0152
4-Vinyl-1-cyclohexene,0.005
1-Octyne,0.0024
"1,1,3-Trimethylcyclopentane",0.000373
Isopropylcyclopentane,0.01305
Propylcyclopentane,0.000204
"cis-1,2-Dimethylcyclohexane",0.0006
"1,4-Dimethylcyclohexane",0.000384
Ethylcyclohexane,
Cyclooctane,0.00079
1-Octene,0.00027
2-Octene,0.000216
"2,2,4-Trimethylpentane",0.000244
"2,3,4-Trimethylpentane",0.00023
"2,3-Dimethylhexane",0.0002
"2,4-Dimethylhexane",0.0139
3-Methylheptane,0.0000792
Octane,0.000066
Indan,0.00889
"1,2,3-Trimethylbenzene",0.00752
"1,2,4-Trimethylbenzene",0.0057
Mesitylene,0.00495
Cumene,0.005
Propylbenzene,0.0055
"1,8-Nonadiyne",0.0125
1-Nonyne,0.00072
Butylcyclopentane,0.0123
"1,1,3-Trimethylcyclohexane",0.000177
"2,2,5-Trimethylhexane",0.000115
"2,6-Dimethylheptane",0.01255
2-Methyloctane,0.0123
3-Methyloctane,0.0121
4-Methyloctane,0.0000115
Nonane,0.000022
Naphthalene,0.003
"1,2,4,5-Tetramethylbenzene",0.000348
p-Cymene,0.04
Diethylbenzene,0.0375
tert-Butylbenzene,0.0014
Butylbenzene,0.0017
d-Limonene,0.00138
Bicyclo[4.4.0]decane,
Pentylcyclopentane,0.0000115
1-Decene,0.000041
"2,7-Dimethyloctane",0.01195
Decane,0.0000016
1-Methylnaphthalene,0.00285
2-Methylnaphthalene,0.00246
"2-Ethyl-1,3,5-trimethylbenzene",0.03045
tert-Pentylbenzene,0.00000127
Hexylcyclopentane,0.01125
Undecane,0.00000044
Acenaphthene,0.00038
Biphenyl,0.000708
"1,3-Dimethylnaphthalene",0.0008
"1,4-Dimethylnaphthalene",0.00114
"1,5-Dimethylnaphthalene",0.0003388
"2,3-Dimethylnaphthalene",0.0003
"2,6-Dimethylnaphthalene",0.0002
1-Ethylnaphthalene,0.001
2-Ethylnaphthalene,0.0008
1-Phenylhexane,0.00021
Dodecane,0.00000037
Fluorene,0.00019
Diphenylmethane,0.000141
"1,4,5-Trimethylnaphthalene",0.00021
Tridecane,0.006
Anthracene,0.0000073
Phenanthrene,0.000107
Tetradecane,
2-Methylanthracene,0.00000216
9-Methylanthracene,0.0000261
1-Methylphenanthrene,0.0000269
Fluoranthene,0.000026
Pyrene,0.0000132
"9,10-Dimethylanthracene",0.0000056
"7,8-Dimethyltetradecane",0.01055
Hexadecane,0.0096
Benzo[a]fluorene,0.0000045
Benzo[b]fluorene,0.0000002
Benz[a]anthracene,0.000000983
Chrysene,0.00000018
Naphthacene,0.00000015
Triphenylene,0.0000043
Octadecane,
1-Methylbenz[a]anthracene,0.0000055
9-Methylbenz[a]anthracene,0.0000066
10-Methylbenz[a]anthracene,0.0000055
5-Methylchrysene,0.0000062
Benzo[a]pyrene,0.00000038
Benzo[e]pyrene,
Perylene,0.00000004
Cholanthrene,0.00000035
"7,12-Dimethylbenz[a]anthracene",0.0000061
"9,10-Dimethylbenz[a]anthracene",0.0000043
Eicosane,0.00000019
5-Methylbenzo[a]pyrene,0.0000008
3-Methylcholanthrene,0.00000029
Benzo[ghi]perylene,0.000000026
Benzo[b]triphenylene,0.000002719
"Dibenz[a,h]anthracene",0.0000000584
"Dibenz[a,j]anthracene",0.0000012
Picene,0.00000025
Coronene,0.000000014
Hexacosane,0.00000017
Hexatriacontane,0.00000017
